Nro,Retorno,SP500
261,0.013527568,24.56
262,0.0052792,24.69
263,0.00323494,24.77
264,0.003626843,24.86
265,0.008411826,25.07
266,0.005965418,25.22
267,-0.006364381,25.06
268,0.016620881,25.48
269,-0.005115101,25.35
270,0.0003944,25.36
271,0.003542613,25.45
272,0.011330459,25.74
273,0.003877477,25.84
274,-0.007770047,25.64
275,0.00233736,25.7
276,-0.008204774,25.49
277,-0.031078198,24.71
278,-0.010986886,24.44
279,0.02185437,24.98
280,-0.001201682,24.95
281,-0.00401607,24.85
282,-0.020325903,24.35
283,0.001641363,24.39
284,-0.000410088,24.38
285,0.008576732,24.59
286,0.01092023,24.86
287,0.002009243,24.91
288,0.001604493,24.95
289,0.011952334,25.25
290,0.013375494,25.59
291,0.009334957,25.83
292,-0.013250389,25.49
293,-0.006691621,25.32
294,-0.015923903,24.92
295,0.009187203,25.15
296,0.006341678,25.31
297,-0.014325752,24.95
298,0.000801282,24.97
299,0.010754933,25.24
300,0.019227589,25.73
301,0.013511111,26.08
302,-0.00153492,26.04
303,-0.000384098,26.03
304,-0.000384246,26.02
305,-0.004622504,25.9
306,-0.013605652,25.55
307,-0.041556119,24.51
308,-0.006549348,24.35
309,0.029937511,25.09
310,0.017384871,25.53
311,-0.025789963,24.88
312,0.011588541,25.17
313,-0.012392723,24.86
314,0.01754431,25.3
315,-0.009930568,25.05
316,-0.008821228,24.83
317,-0.008087387,24.63
318,0.006071664,24.78
319,0.011236073,25.06
320,0.003584947,25.15
321,-0.005982072,25
322,0.002397125,25.06
323,0.010321648,25.32
324,0.004334982,25.43
325,-0.000786782,25.41
326,0.011348195,25.7
327,0.005819609,25.85
328,-0.003875974,25.75
329,-0.004671087,25.63
330,-0.001952744,25.58
331,-0.001956565,25.53
332,0.015931948,25.94
333,0.00192567,25.99
334,0.004606534,26.11
335,0.009908618,26.37
336,-0.001897894,26.32
337,-0.009543879,26.07
338,0.004210533,26.18
339,-0.006130287,26.02
340,0.012223223,26.34
341,-0.026935064,25.64
342,0.012017978,25.95
343,-0.004247931,25.84
344,0.005018347,25.97
345,0.004610073,26.09
346,-0.027196703,25.39
347,0.012135596,25.7
